"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"RBpeytonbarber",4.647,5.915,4.33,7.5,2,"16711-40857","Peyton Barber","RB","FanDuel","","",7.5,4500,"TB","OAK",TRUE,"peytonbarber",0.31148098432625,6.09445213416408
"RBreggiebush",3.6619999905,3.1899999525,2.599999905,3.78,2,"16711-6643","Reggie Bush","RB","FanDuel","","",2.599999905,5100,"BUF","NE",TRUE,"reggiebush",-0.104194404527771,3.28044008210915
"RBrobertturbin",3.492333327,3.821666635,3.41,4.23333327,2,"16711-22048","Robert Turbin","RB","FanDuel","","",4.23333327,4500,"IND","KC",TRUE,"robertturbin",0.185271907336736,4.13936458354894
"RBryanmathews",9.1413333333,9.2266666665,9.12,9.333333333,2,"16711-11425","Ryan Mathews","RB","FanDuel","","",9.333333333,5500,"PHI","DAL",FALSE,"ryanmathews",-0.146605458369956,7.801163969859
"RBspencerware",17.432999949,16.884999745,16.19999949,17.57,2,"16711-31459","Spencer Ware","RB","FanDuel","","",16.19999949,7400,"KC","IND",FALSE,"spencerware",-0.164901468084167,14.5582726642987
"RBterronward",2.9549999924,2.854999962,2.729999924,2.98,2,"16711-29540","Terron Ward","RB","FanDuel","","",2.729999924,4500,"ATL","GB",TRUE,"terronward",0.0936380277827313,3.23170036378632
"RBtheoriddick",10.506999969,12.334999845,10.05,14.61999969,2,"16711-33465","Theo Riddick","RB","FanDuel","","",14.61999969,5900,"DET","HOU",FALSE,"theoriddick",-0.367541127146623,6.64524535746421
"RBtimhightower",2.5656666698,2.188333349,1.716666698,2.66,2,"16711-6828","Tim Hightower","RB","FanDuel","","",1.716666698,4500,"NO","SEA",TRUE,"timhightower",0.458739305313695,3.74263881557055
"RBtravariscadet",3.0470000064,3.515000032,2.93,4.100000064,2,"16711-22258","Travaris Cadet","RB","FanDuel","","",4.100000064,4600,"NO","SEA",TRUE,"travariscadet",0.14542109804921,3.49009809308664
"RBwendellsmallwood",3.7929999924,4.364999962,3.65,5.079999924,2,"16711-38509","Wendell Smallwood","RB","FanDuel","","",5.079999924,4900,"PHI","DAL",FALSE,"wendellsmallwood",-0.109953415697332,3.37594668749567
"RBzachzenner",4.8455000191,5.5475000955,4.67,6.425000191,2,"16711-62616","Zach Zenner","RB","FanDuel","","",6.425000191,5400,"DET","HOU",FALSE,"zachzenner",-0.311670279890467,3.33530167193784
"TEantoniogates",6.4039999924,6.259999962,6.079999924,6.44,2,"16711-7965","Antonio Gates","TE","FanDuel","","",6.079999924,5300,"SD","DEN",FALSE,"antoniogates",0.335339837291352,8.55151630786523
"TEaustinhooper",2.5809999905,4.1449999525,2.19,6.099999905,2,"16711-40126","Austin Hooper","TE","FanDuel","","",6.099999905,4500,"ATL","GB",TRUE,"austinhooper",-0.264931645135162,1.897211416923
"TEbrandonmyers",1.532666673,2.303333365,1.34,3.26666673,2,"16711-7801","Brandon Myers","TE","FanDuel","","",3.26666673,4500,"TB","OAK",TRUE,"brandonmyers",0.361392999802148,2.08656167965225
"TEbrentcelek",1.8889999905,2.2049999525,1.81,2.599999905,2,"16711-6742","Brent Celek","TE","FanDuel","","",2.599999905,4500,"PHI","DAL",FALSE,"brentcelek",0.125024245518311,2.12517078909636
"TEcameronbrate",7.6463333079,7.5516665395,7.433333079,7.67,2,"16711-54782","Cameron Brate","TE","FanDuel","","",7.433333079,5200,"TB","OAK",TRUE,"cameronbrate",0.0927992791052474,8.35590752667156
"TEcjfiedorowicz",8.8035714068,7.817857034,6.585714068,9.05,2,"16711-27908","C.J. Fiedorowicz","TE","FanDuel","","",6.585714068,4900,"HOU","DET",TRUE,"cjfiedorowicz",0.18292630358279,10.4139761825731
"TEclayharbor",1.8890000048,1.805000024,1.700000048,1.91,2,"16711-11543","Clay Harbor","TE","FanDuel","","",1.700000048,4500,"DET","HOU",FALSE,"clayharbor",-0.204488319027828,1.50272156917489
