"","Name","Position","mean","min","max","freq","range"
"36","Austin Davis","QB",7.393333435,7.393333435,7.393333435,1,0
"37","Austin Seferian-Jenkins","TE",5.4089286586,4,9.757143293,5,5.757143293
"38","Baltimore","D",4.5,4.5,4.5,1,0
"39","Baltimore Ravens","D",6.4375,6.4375,6.4375,1,0
"40","Ben Roethlisberger","QB",19.996166586,17.61875,26.3,5,8.68125
"41","Benjamin Watson","TE",9.59375,9.59375,9.59375,1,0
"42","Benny Cunningham","RB",4.4333333335,3.466666667,5.4,2,1.933333333
"43","Bilal Powell","RB",7.1394886025,5.8,10.14545441,4,4.34545441
"44","Bishop Sankey","RB",4.183333397,4.183333397,4.183333397,1,0
"45","Blaine Gabbert","QB",13.449000138,10.54,17.09250069,5,6.55250069
"46","Blair Walsh","K",8.84,7,12,5,5
"47","Blake Bortles","QB",17.324499938,15.1,20.88249969,5,5.78249969
"48","Branden Oliver","RB",4.071428571,4.071428571,4.071428571,1,0
"49","Brandin Cooks","WR",10.815000076,9.2,13.22500038,5,4.02500038
"50","Brandon Bolden","RB",5.472727342,5.472727342,5.472727342,1,0
"51","Brandon Coleman","WR",4.908333365,4.525000095,5.2,3,0.674999905
"52","Brandon LaFell","WR",4.4965909368,3.06875,6.445454684,5,3.376704684
"53","Brandon Marshall","WR",13.128750152,11.075,17.79375076,5,6.71875076
"54","Brandon McManus","K",6.99583333333333,6.3,7.34375,3,1.04375
"55","Brandon Myers","TE",3.116666794,3.116666794,3.116666794,1,0
"56","Brandon Weeden","QB",11.40333303,11.40333303,11.40333303,1,0
"57","Braxton Miller","WR",4.40625,4.40625,4.40625,2,0
"58","Brent Celek","TE",5.941666921,5.941666921,5.941666921,1,0
"59","Breshad Perriman","WR",3.875,3.875,3.875,2,0
"60","Brian Hartline","WR",7.275000254,7.275000254,7.275000254,1,0
"61","Brian Hoyer","QB",15.78545449,15.78545449,15.78545449,1,0
"62","Brian Quick","WR",3.5,3.5,3.5,1,0
"63","Brice Butler","WR",7.4299999235,6.359999847,8.5,2,2.140000153
"64","Brock Osweiler","QB",15.99849997,15.3125,18.12,5,2.8075
"65","Bruce Ellington","WR",11,11,11,1,0
"66","Bryan Walters","WR",5.345454476,5.345454476,5.345454476,1,0
